10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 3 0 0 13 3 18.90486 19 
2 0 0 0 17 0 19 19 
2 2 0 0 51 2 18.23678 19 
2 1 0 0 62 1 18.95644 19 
2 3 0 0 71 3 18.73501 19 
2 1 0 0 120 1 18.97291 19 
2 1 0 0 133 1 18.94283 19 
2 4 0 0 142 4 18.89614 19 
2 2 0 0 165 2 18.97441 19 
2 3 0 0 194 3 18.44462 19 
2 2 0 0 253 2 18.04096 19 
2 2 0 0 257 2 18.57708 19 
2 2 0 0 280 2 18.96637 19 
2 5 0 0 300 5 18.37534 19 
2 1 0 0 341 1 18.99437 19 
2 0 0 0 346 0 19 19 
2 2 0 0 349 2 18.93642 19 
2 1 0 0 373 1 18.99999 19 
2 1 0 0 374 1 18.99774 19 
2 1 0 0 400 1 18.93873 19 
2 0 0 0 431 0 19 19 
2 1 0 0 439 1 16.86332 19 
2 2 0 0 474 2 18.87085 19 
2 1 0 0 504 1 18.98985 19 
2 3 0 0 518 3 18.12863 19 
2 2 0 0 526 2 18.82884 19 
2 1 0 0 556 1 18.9315 19 
2 1 0 0 562 1 18.84134 19 
2 0 0 0 608 0 19 19 
2 1 0 0 612 1 17.81485 19 
2 0 0 0 626 0 19 19 
2 0 0 0 635 0 19 19 
2 0 0 0 647 0 19 19 
2 2 0 0 696 2 18.88433 19 
2 0 0 0 711 0 19 19 
2 0 0 0 712 0 19 19 
2 3 0 0 730 3 18.61115 19 
2 1 0 0 789 1 18.99431 19 
2 1 0 0 819 1 18.99988 19 
2 2 0 0 893 2 18.6864 19 
2 1 0 0 895 1 18.1423 19 
2 0 0 0 958 0 19 19 
2 3 0 0 967 3 18.34031 19 
2 2 0 0 975 2 18.5834 19 
2 0 0 0 976 0 19 19 
2 1 0 0 1022 1 18.99659 19 
2 2 0 0 1156 2 18.36828 19 
2 2 0 0 1159 2 18.9993 19 
2 0 0 0 1166 0 19 19 
2 1 0 0 1186 1 18.37035 19 
2 1 0 0 1199 1 18.33586 19 
2 4 0 0 1212 4 18.51029 19 
2 3 0 0 1219 3 18.69769 19 
2 1 0 0 1230 1 16.1271 19 
2 4 0 0 1252 4 18.73213 19 
2 4 0 0 1293 4 18.673 19 
2 0 0 0 1325 0 19 19 
2 1 0 0 1376 1 18.063 19 
2 0 0 0 1388 0 19 19 
2 1 0 0 1423 1 18.74989 19 
2 2 0 0 1424 2 18.85833 19 
2 2 0 0 1432 2 18.33795 19 
2 1 0 0 1487 1 18.97455 19 
2 2 0 0 1524 2 18.94151 19 
2 1 0 0 1529 1 18.98856 19 
2 1 0 0 1558 1 18.88802 19 
2 1 0 0 1564 1 18.99999 19 
2 1 0 0 1607 1 18.97358 19 
2 2 0 0 1704 2 18.98087 19 
2 4 0 0 1705 4 18.79396 19 
2 2 0 0 1713 2 18.77629 19 
2 1 0 0 1821 1 18.97719 19 
2 1 0 0 1822 1 18.16504 19 
2 0 0 0 1858 0 19 19 
2 0 0 0 1886 0 19 19 
2 1 0 0 1908 1 18.94121 19 
2 1 0 0 1912 1 18.84654 19 
2 2 0 0 1966 2 18.81635 19 
2 1 0 0 1985 1 18.41042 19 
2 2 0 0 1991 2 18.43449 19 
2 0 0 0 1998 0 19 19 
2 1 0 0 2020 1 18.42575 19 
2 0 0 0 2032 0 19 19 
2 2 0 0 2033 2 18.04518 19 
2 2 0 0 2043 2 18.97923 19 
2 0 0 0 2044 0 19 19 
2 3 0 0 2052 3 17.60899 19 
2 0 0 0 2060 0 19 19 
2 1 0 0 2066 1 18.99942 19 
2 0 0 0 2080 0 19 19 
2 1 0 0 2127 1 16.83059 19 
2 2 0 0 2133 2 18.96151 19 
2 1 0 0 2155 1 16.86332 19 
2 0 0 0 2156 0 19 19 
2 5 0 0 2190 5 18.27331 19 
2 1 0 0 2242 1 18.63509 19 
2 4 0 0 2250 4 18.26762 19 
2 3 0 0 2272 3 18.88952 19 
2 1 0 0 2304 1 16.1271 19 
2 0 0 0 2319 0 19 19 
2 3 0 0 2414 3 18.99654 19 
2 3 0 0 2429 3 18.9008 19 
2 2 0 0 2432 2 18.86869 19 
2 1 0 0 2493 1 18.9766 19 
2 0 0 0 2495 0 19 19 
2 3 0 0 2518 3 18.08018 19 
2 1 0 0 2539 1 18.89011 19 
2 0 0 0 2544 0 19 19 
2 4 0 0 2554 4 18.8479 19 
2 1 0 0 2620 1 18.97958 19 
2 1 0 0 2640 1 18.41278 19 
2 1 0 0 2647 1 18.93345 19 
2 0 0 0 2683 0 19 19 
2 1 0 0 2688 1 18.33159 19 
2 1 0 0 2691 1 18.58967 19 
2 2 0 0 2695 2 18.30982 19 
2 1 0 0 2709 1 18.92141 19 
2 3 0 0 2726 3 17.43829 19 
2 1 0 0 2745 1 18.93749 19 
2 2 0 0 2772 2 16.37024 19 
2 2 0 0 2798 2 18.96212 19 
2 1 0 1 2822 2 14.25318 19 
2 0 0 0 2838 0 19 19 
2 1 0 0 2877 1 18.99998 19 
2 1 0 0 2880 1 18.58309 19 
2 2 0 0 2886 2 18.9997 19 
2 2 0 0 2911 2 18.96364 19 
2 3 0 0 2918 3 18.3187 19 
2 2 0 0 3006 2 18.94755 19 
2 0 0 0 3026 0 19 19 
2 2 0 0 3049 2 18.95376 19 
2 1 0 0 3068 1 18.99799 19 
2 0 0 0 3083 0 19 19 
2 1 0 0 3095 1 18.99983 19 
2 2 0 0 3136 2 18.81335 19 
2 1 0 0 3158 1 18.96505 19 
2 1 0 0 3240 1 18.96659 19 
2 3 0 0 3302 3 16.53668 19 
2 0 0 0 3325 0 19 19 
2 1 0 0 3332 1 18.99571 19 
2 2 0 0 3342 2 18.52463 19 
2 2 0 0 3347 2 17.5571 19 
2 1 0 0 3375 1 17.29907 19 
2 0 0 0 3405 0 19 19 
2 3 0 0 3428 3 17.51144 19 
2 1 0 0 3465 1 18.83957 19 
2 3 0 0 3491 3 18.23381 19 
2 2 0 0 3553 2 18.98101 19 
2 2 0 0 3573 2 18.9891 19 
2 2 0 0 3658 2 18.92102 19 
2 0 0 0 3665 0 19 19 
2 1 0 0 3672 1 18.99357 19 
2 4 0 0 3707 4 18.64939 19 
2 0 0 0 3715 0 19 19 
2 3 0 0 3718 3 18.59616 19 
2 0 0 0 3725 0 19 19 
2 3 0 0 3736 3 18.71257 19 
2 1 0 0 3748 1 18.20981 19 
2 0 0 0 3804 0 19 19 
2 1 0 0 3875 1 18.99954 19 
2 1 0 0 3902 1 18.99572 19 
2 4 0 0 3935 4 18.89372 19 
2 0 0 0 3976 0 19 19 
2 2 0 0 3994 2 18.99697 19 
2 2 0 0 4028 2 18.94456 19 
2 2 0 0 4065 2 18.72452 19 
2 1 0 0 4076 1 18.58309 19 
2 2 0 0 4090 2 18.3875 19 
2 1 0 0 4095 1 18.87947 19 
2 0 0 0 4168 0 19 19 
2 3 0 0 4202 3 16.31829 19 
2 0 0 0 4210 0 19 19 
2 1 0 0 4253 1 18.99064 19 
2 2 0 0 4271 2 18.58897 19 
2 0 0 0 4274 0 19 19 
2 1 0 0 4337 1 18.99848 19 
2 2 0 0 4393 2 17.69646 19 
2 0 0 0 4394 0 19 19 
2 0 0 0 4400 0 19 19 
2 2 0 0 4427 2 17.40223 19 
2 3 0 0 4436 3 18.97302 19 
2 1 0 0 4508 1 18.99491 19 
2 3 0 0 4529 3 18.75122 19 
2 4 0 0 4556 4 18.05705 19 
2 2 0 0 4559 2 18.69556 19 
2 0 0 0 4571 0 19 19 
2 1 0 0 4597 1 18.98948 19 
2 2 0 0 4619 2 18.8707 19 
2 2 0 0 4670 2 18.96935 19 
2 1 0 0 4737 1 18.93284 19 
2 0 0 0 4757 0 19 19 
2 1 0 0 4761 1 18.44804 19 
2 2 0 0 4812 2 18.42246 19 
2 2 0 0 4881 2 18.97904 19 
2 4 0 0 4892 4 18.93667 19 
2 1 0 0 4914 1 18.82331 19 
2 2 0 0 4917 2 16.48797 19 
2 0 0 0 4945 0 19 19 
2 1 0 0 4953 1 17.51188 19 
2 3 0 0 4958 3 18.92205 19 
2 1 0 0 4988 1 18.72496 19 
2 1 0 0 4996 1 18.36097 19 
2 1 0 0 5030 1 17.84819 19 
2 0 0 0 5036 0 19 19 
2 2 0 0 5112 2 18.97615 19 
2 1 0 0 5114 1 18.72295 19 
2 0 0 0 5122 0 19 19 
2 0 0 0 5145 0 19 19 
2 1 0 0 5166 1 18.99542 19 
2 2 0 0 5201 2 18.53219 19 
2 2 0 0 5292 2 18.19548 19 
2 1 0 0 5298 1 18.99247 19 
2 1 0 0 5301 1 18.92734 19 
2 1 0 0 5302 1 18.94128 19 
2 0 0 0 5361 0 19 19 
2 3 0 0 5375 3 18.49516 19 
2 0 0 0 5388 0 19 19 
2 0 0 0 5402 0 19 19 
2 2 0 0 5405 2 18.95047 19 
2 1 0 0 5407 1 18.20142 19 
2 1 0 0 5451 1 18.99967 19 
2 1 0 0 5534 1 19 19 
2 0 0 0 5539 0 19 19 
2 2 0 0 5545 2 17.6626 19 
2 0 0 0 5583 0 19 19 
2 0 0 0 5619 0 19 19 
2 0 0 0 5646 0 19 19 
2 2 0 0 5678 2 18.48819 19 
2 3 0 0 5690 3 18.68551 19 
2 2 0 0 5697 2 18.28921 19 
2 0 0 0 5701 0 19 19 
2 2 0 0 5733 2 17.80913 19 
2 2 0 0 5750 2 17.77805 19 
2 4 0 0 5761 4 18.78662 19 
2 1 0 0 5804 1 18.44004 19 
2 1 0 0 5859 1 18.99845 19 
2 4 0 0 5943 4 18.67184 19 
2 0 0 0 5945 0 19 19 
2 2 0 0 5953 2 18.68727 19 
2 2 0 0 5960 2 18.2407 19 
2 3 0 0 5981 3 18.84409 19 
2 0 0 0 5997 0 19 19 
2 1 0 0 6012 1 18.99911 19 
2 4 0 0 6016 4 17.86075 19 
2 2 0 0 6044 2 18.18493 19 
2 4 0 0 6085 4 18.77433 19 
2 3 0 0 6104 3 18.88227 19 
2 3 0 0 6127 3 18.79219 19 
2 0 0 0 6130 0 19 19 
2 0 0 0 6201 0 19 19 
2 1 0 0 6202 1 18.24388 19 
2 2 0 0 6209 2 18.97178 19 
2 1 0 0 6250 1 18.99888 19 
2 2 0 0 6254 2 18.91175 19 
2 2 0 0 6260 2 18.34615 19 
2 1 0 0 6287 1 18.9011 19 
