10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 0 348 1 16.83059 19 
2 3 0 0 3202 3 16.91574 19 
2 5 0 0 3305 5 18.34306 19 
2 2 0 1 6437 3 14.02478 19 
2 6 0 0 8662 6 17.13867 19 
2 3 0 0 9230 3 18.79658 19 
2 3 0 0 11181 3 18.49523 19 
2 2 0 0 11596 2 16.86015 19 
2 3 0 0 11852 3 17.19663 19 
2 2 0 0 11884 2 18.74692 19 
2 3 0 0 12825 3 18.36853 19 
2 3 0 0 12956 3 16.25905 19 
2 2 0 0 13298 2 15.88759 19 
2 3 0 0 13588 3 18.58855 19 
2 2 0 1 13676 3 14.08373 19 
2 3 0 0 15983 3 16.78016 19 
2 7 0 0 16772 7 18.16638 19 
2 2 0 0 17397 2 16.33731 19 
2 2 0 0 17504 2 17.39026 19 
2 4 0 0 17558 4 18.36146 19 
2 2 0 0 17680 2 17.07094 19 
2 7 0 0 17866 7 16.07941 19 
2 2 0 0 18029 2 18.90995 19 
2 4 0 0 18422 4 18.33575 19 
2 1 0 0 19425 1 16.1271 19 
2 3 0 0 19700 3 17.85813 19 
2 2 0 0 20590 2 18.49421 19 
2 3 0 0 20709 3 16.78323 19 
2 5 0 0 21349 5 18.06552 19 
2 2 0 0 21518 2 18.86313 19 
2 1 0 0 21816 1 17.29907 19 
2 2 0 0 22457 2 16.8249 19 
2 2 0 0 22663 2 17.44563 19 
2 2 0 0 22882 2 16.8305 19 
2 2 0 0 23111 2 17.13793 19 
2 3 0 0 23347 3 16.9481 19 
2 3 0 0 24777 3 15.98769 19 
2 1 0 0 26313 1 16.94988 19 
2 3 0 0 27355 3 17.09833 19 
2 3 0 0 27678 3 17.67753 19 
2 6 0 0 27789 6 18.61411 19 
2 4 0 0 27986 4 16.0314 19 
2 3 0 0 28024 3 14.06161 19 
2 1 0 0 29429 1 17.48728 19 
2 3 0 0 30127 3 17.28367 19 
2 4 0 0 31326 4 17.10468 19 
2 3 0 0 31594 3 16.10962 19 
2 3 0 0 32556 3 16.70901 19 
2 4 0 0 32617 4 15.80473 19 
2 5 0 0 33646 5 18.00428 19 
2 6 0 0 33848 6 18.39894 19 
2 5 0 0 33918 5 17.21379 19 
2 3 0 0 35112 3 17.56145 19 
2 4 0 0 36368 4 18.774 19 
2 6 0 0 37469 6 16.85961 19 
2 4 0 0 37683 4 18.78001 19 
2 3 0 0 38484 3 16.79144 19 
2 2 0 0 38883 2 17.23299 19 
2 1 0 0 40722 1 17.6505 19 
2 4 0 0 44042 4 18.43328 19 
2 2 0 0 44285 2 17.91981 19 
2 1 0 0 44728 1 17.87506 19 
2 4 0 0 45327 4 16.78332 19 
2 2 0 0 45565 2 18.47628 19 
2 7 0 0 45750 7 17.99625 19 
2 3 0 1 45789 4 14.74096 19 
2 2 0 0 45964 2 16.11898 19 
2 3 0 0 46951 3 16.34593 19 
2 4 0 0 47731 4 17.11551 19 
2 3 0 0 47996 3 17.60988 19 
2 4 0 0 48990 4 17.50472 19 
2 2 0 0 49487 2 17.29902 19 
2 3 0 0 49773 3 18.33756 19 
2 5 0 0 50281 5 18.18561 19 
2 3 0 0 50654 3 17.67929 19 
2 4 0 0 50826 4 16.38295 19 
2 7 0 0 51302 7 18.16764 19 
2 3 0 0 52093 3 18.22398 19 
2 1 0 0 52644 1 16.94988 19 
2 2 0 1 53393 3 14.23716 19 
2 5 0 0 53881 5 17.69609 19 
2 1 0 0 54222 1 16.94988 19 
2 1 0 1 55330 2 14.0583 19 
2 4 0 0 56327 4 17.03121 19 
2 6 0 0 56377 6 18.09652 19 
2 2 0 0 56663 2 16.80241 19 
2 1 0 1 57317 2 14.11874 19 
2 2 0 0 57391 2 17.13031 19 
2 4 0 0 57925 4 17.00339 19 
2 6 0 0 59591 6 18.87317 19 
2 2 0 0 60027 2 16.11659 19 
2 4 0 0 60318 4 18.91015 19 
2 1 0 1 60327 2 14.29018 19 
2 1 0 1 60811 2 14.58904 19 
2 2 0 0 61808 2 17.50666 19 
2 4 0 0 62164 4 17.25902 19 
2 7 0 0 62657 7 18.61739 19 
2 1 0 1 63332 2 14.60904 19 
2 2 0 0 64106 2 16.79983 19 
2 3 0 0 64886 3 17.0361 19 
2 8 0 0 66301 8 17.67853 19 
2 3 0 0 66526 3 18.23614 19 
2 1 0 0 66944 1 16.86332 19 
2 7 0 0 67104 7 18.01178 19 
2 1 0 0 67297 1 16.1271 19 
2 3 0 0 67693 3 16.70155 19 
2 2 0 0 67711 2 17.10126 19 
2 3 0 0 68279 3 17.42393 19 
2 3 0 0 68848 3 18.07799 19 
2 3 0 0 69889 3 16.85405 19 
2 1 0 0 70317 1 18.31983 19 
2 2 0 0 70581 2 16.09694 19 
2 1 0 1 71030 2 14.19819 19 
2 1 0 0 72683 1 16.94988 19 
2 4 0 0 73390 4 17.63867 19 
2 1 0 0 74356 1 16.83059 19 
2 5 0 0 74383 5 17.33451 19 
2 2 0 0 74707 2 17.20495 19 
2 2 0 0 75891 2 18.95544 19 
2 1 0 0 76112 1 16.1271 19 
2 1 0 1 76545 2 14.00394 19 
2 1 0 0 76728 1 16.86332 19 
2 2 0 0 76880 2 16.97825 19 
2 4 0 0 76933 4 17.59976 19 
2 2 0 0 78329 2 18.8924 19 
2 2 0 0 78480 2 17.2835 19 
2 3 0 0 78572 3 17.62577 19 
2 3 0 0 80549 3 16.79882 19 
2 4 0 0 80575 4 18.19257 19 
2 3 0 0 82045 3 16.66507 19 
2 5 0 0 83253 5 15.54647 19 
2 2 0 0 84291 2 17.2796 19 
2 4 0 0 84707 4 16.74835 19 
2 3 0 0 85079 3 16.06746 19 
2 5 0 0 85519 5 17.65981 19 
2 2 0 1 86028 3 14.28429 19 
2 2 0 0 86053 2 17.19362 19 
2 1 0 1 86066 2 14.27078 19 
2 2 0 0 87446 2 18.71691 19 
2 4 0 0 88197 4 18.34355 19 
2 1 0 0 88315 1 16.1271 19 
2 5 0 0 90057 5 17.91201 19 
2 4 0 0 91184 4 17.73936 19 
2 2 0 0 91499 2 17.28097 19 
2 4 0 0 91863 4 16.10416 19 
2 3 0 0 92389 3 17.57733 19 
2 4 0 0 92768 4 15.9321 19 
2 5 0 0 92776 5 17.58606 19 
2 1 0 1 92960 2 15.59193 19 
2 3 0 0 93366 3 16.5292 19 
2 2 0 0 94942 2 17.80448 19 
2 5 0 0 95338 5 16.6006 19 
2 4 0 0 96333 4 16.14515 19 
2 3 0 0 96399 3 17.77536 19 
2 2 0 0 97029 2 18.28004 19 
2 3 0 0 97312 3 18.47302 19 
2 5 0 0 98408 5 17.15973 19 
2 3 0 0 98893 3 18.44278 19 
2 4 0 0 99341 4 17.04112 19 
END
